Date,Window,Threshold_q,Threshold_u,Exceedances_k,xi_shape,beta_scale,VaR95,ES95,VaR99,ES99
1993-12-15,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-16,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-17,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-20,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-21,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-22,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-23,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-27,1000,0.95,0.032130684200282034,50,0.22331894875819122,0.010941975774254244,0.03213068420028202,0.046218804100670335,0.05332169640911705,0.0735028638507485
1993-12-28,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1993-12-29,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1993-12-30,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1993-12-31,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1994-01-03,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1994-01-04,1000,0.95,0.03185004429295093,50,0.2366999980295667,0.010681886586060172,0.03185004429295092,0.04584439324943623,0.0527751789595996,0.07325843047284925
1994-01-05,1000,0.95,0.031797086006958734,50,0.2703825383937585,0.010126268816075453,0.03179708600695873,0.04567596000455005,0.05221632967717046,0.07366219216689315
1994-01-06,1000,0.95,0.031788626545320844,50,0.2934925292625448,0.00979520813653379,0.03178862654532084,0.045652893438789796,0.051939282190573186,0.07417439742829328
1994-01-07,1000,0.95,0.031788626545320844,50,0.2934925292625448,0.00979520813653379,0.03178862654532084,0.045652893438789796,0.051939282190573186,0.07417439742829328
1994-01-10,1000,0.95,0.03157922417426574,50,0.2929837167294861,0.009879805271351277,0.03157922417426573,0.04555316721508128,0.05189494048567797,0.07428760628264541
1994-01-11,1000,0.95,0.03157922417426574,50,0.2929837167294861,0.009879805271351277,0.03157922417426573,0.04555316721508128,0.05189494048567797,0.07428760628264541
1994-01-12,1000,0.95,0.03157922417426574,50,0.2929837167294861,0.009879805271351277,0.03157922417426573,0.04555316721508128,0.05189494048567797,0.07428760628264541
1994-01-13,1000,0.95,0.031435092225200495,50,0.307431343851729,0.00972013047593025,0.03143509222520049,0.04546999026691793,0.05167507350272793,0.07469450266413258
1994-01-14,1000,0.95,0.031435092225200495,50,0.307431343851729,0.00972013047593025,0.03143509222520049,0.04546999026691793,0.05167507350272793,0.07469450266413258
1994-01-17,1000,0.95,0.031435092225200495,50,0.307431343851729,0.00972013047593025,0.03143509222520049,0.04546999026691793,0.05167507350272793,0.07469450266413258
1994-01-18,1000,0.95,0.031435092225200495,50,0.307431343851729,0.00972013047593025,0.03143509222520049,0.04546999026691793,0.05167507350272793,0.07469450266413258
1994-01-19,1000,0.95,0.031435092225200495,50,0.307431343851729,0.00972013047593025,0.03143509222520049,0.04546999026691793,0.05167507350272793,0.07469450266413258
1994-01-20,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-21,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-24,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-25,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-26,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-27,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-28,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-01-31,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
1994-02-01,1000,0.95,0.030983293043255547,50,0.2541514319886643,0.010682812436749565,0.030983293043255537,0.045306324413059276,0.052225781511591546,0.0737872914342538
