Dataset,Model,Confidence,VaR,ES,Degrees_of_Freedom
NASDAQ,Student-t,0.95,0.020504749376392812,0.03521326167141281,2.8634226433111802
NASDAQ,Student-t,0.99,0.04143555922558616,0.06597594621247416,2.8634226433111802
DOW JONES,Student-t,0.95,0.01467100592211183,0.02442538261507078,3.0373427450292727
DOW JONES,Student-t,0.99,0.02873671114369882,0.0444065746028256,3.0373427450292727
S&P 500,Student-t,0.95,0.01516368049618144,0.02579561277243688,2.898288245601946
S&P 500,Student-t,0.99,0.030336522689005007,0.04793546496003039,2.898288245601946
CITIGROUP,Student-t,0.95,0.036133061190485496,0.06397533865166248,2.584423260871781
CITIGROUP,Student-t,0.99,0.0746849199440934,0.12451416619899247,2.584423260871781
