Date,Window,VolWindow,Vol,VolPct,q_t,Threshold_u,Exceedances_k,xi_shape,beta_scale,VaR95,ES95,VaR99,ES99
2000-04-18,1000,60,0.02844714473652788,0.8811959087332809,0.92,0.03136945122093994,80,0.08232982003096478,0.013984137942041341,0.03807086734322414,0.05391083320746535,0.0630861717840506,0.08117041403166794
2000-04-19,1000,60,0.028957196437342757,0.9036570979158475,0.9,0.0271851376261472,100,0.019683541361900224,0.01563052396187449,0.03809363758261079,0.05425703230310417,0.0640038135971188,0.08068745258851243
2000-04-20,1000,60,0.028736656885999395,0.8946540880503144,0.92,0.03136945122093994,80,0.07030859829571023,0.014253214389094254,0.03818042932424878,0.054026638814359304,0.06328437101330933,0.08102908461846221
2000-04-24,1000,60,0.028692241898906495,0.8923379174852653,0.92,0.03136945122093994,80,0.07030859829571023,0.014253214389094254,0.03818042932424878,0.054026638814359304,0.06328437101330933,0.08102908461846221
2000-04-25,1000,60,0.0284018565812747,0.8766692851531814,0.92,0.03136945122093994,80,0.07030859829571023,0.014253214389094254,0.03818042932424878,0.054026638814359304,0.06328437101330933,0.08102908461846221
2000-04-26,1000,60,0.02868969897390991,0.8916372202591284,0.92,0.03136945122093994,80,0.07030859829571023,0.014253214389094254,0.03818042932424878,0.054026638814359304,0.06328437101330933,0.08102908461846221
2000-04-27,1000,60,0.02863171749992004,0.8897174254317112,0.92,0.031644371966433715,80,0.09251844638888085,0.013671616610561595,0.03821183640823648,0.053946842988381746,0.06299255600544892,0.08125397611808904
2000-04-28,1000,60,0.029132820207537564,0.9121224009415457,0.9,0.027302194580258718,100,0.015424994508647576,0.015702875260393528,0.038244993110495465,0.0543653168838081,0.06410917530849271,0.08063470423748129
2000-05-01,1000,60,0.02911725722873763,0.9117647058823529,0.9,0.027358576566357512,100,0.005695367026938469,0.01594464327023265,0.03843240494137505,0.05453180974788509,0.06431426453021585,0.08056192037047334
2000-05-02,1000,60,0.02889058678272147,0.8988631909055272,0.92,0.03183650415017214,80,0.0913131370180106,0.013625841679353282,0.03838011250041727,0.05403276432654291,0.06303935512240556,0.08116999237126821
2000-05-03,1000,60,0.028973352290348458,0.9047805642633229,0.9,0.027358576566357512,100,0.005695367026938469,0.01594464327023265,0.03843240494137505,0.05453180974788509,0.06431426453021585,0.08056192037047334
2000-05-04,1000,60,0.02896263781524167,0.9032510771641207,0.9,0.027358576566357512,100,0.005695367026938469,0.01594464327023265,0.03843240494137505,0.05453180974788509,0.06431426453021585,0.08056192037047334
2000-05-05,1000,60,0.02869962777830136,0.8911511354737667,0.92,0.03183650415017214,80,0.0913131370180106,0.013625841679353282,0.03838011250041727,0.05403276432654291,0.06303935512240556,0.08116999237126821
2000-05-08,1000,60,0.02866541609947132,0.8888454011741683,0.92,0.03183650415017214,80,0.0913131370180106,0.013625841679353282,0.03838011250041727,0.05403276432654291,0.06303935512240556,0.08116999237126821
2000-05-09,1000,60,0.0286737510070378,0.8888888888888888,0.92,0.03183650415017214,80,0.0913131370180106,0.013625841679353282,0.03838011250041727,0.05403276432654291,0.06303935512240556,0.08116999237126821
2000-05-10,1000,60,0.029505044086437702,0.9151349237387564,0.9,0.027358576566357512,100,0.005695367026938469,0.01594464327023265,0.03843240494137505,0.05453180974788509,0.06431426453021585,0.08056192037047334
2000-05-11,1000,60,0.029916209408000945,0.9175136825645035,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-12,1000,60,0.02986365626488642,0.9163735834310277,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-15,1000,60,0.03017050536815116,0.923046875,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-16,1000,60,0.0301787643539605,0.9230769230769231,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-17,1000,60,0.030189122375938036,0.9234972677595629,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-18,1000,60,0.030189067526983766,0.9231369488880219,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-19,1000,60,0.02984956707730412,0.9145865834633385,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-22,1000,60,0.0295925594675139,0.9130604288499026,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-23,1000,60,0.029553229357498635,0.9123148869836322,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-24,1000,60,0.028879966655326165,0.8936501753019088,0.92,0.03191731891374119,80,0.0718591708816803,0.014072907458916095,0.03864460087792603,0.05432791520531896,0.06348060177579948,0.0810867864010471
2000-05-25,1000,60,0.029602177144033133,0.9131619937694704,0.9,0.027520192390790035,100,-0.002267676056350473,0.0161568817841344,0.038710492499174,0.05480550004445203,0.06462582937280167,0.08066220229349337
2000-05-26,1000,60,0.02960928421682426,0.9131957960295835,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-05-30,1000,60,0.029552727075334986,0.911284046692607,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-05-31,1000,60,0.02956965514466986,0.91170750680669,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-06-01,1000,60,0.029189977200513115,0.9082426127527217,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-06-02,1000,60,0.029803353667311187,0.9137193937038477,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-06-05,1000,60,0.02979982348758654,0.9133644133644133,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-06-06,1000,60,0.029750807983951917,0.913009708737864,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
2000-06-07,1000,60,0.029792611013181817,0.9130434782608695,0.9,0.027520192390790035,100,-0.012821095698611326,0.016487538593522394,0.03889785230117399,0.05503265102958432,0.06492924732201327,0.08073451992962305
