Dataset,Model,Threshold_q,Threshold_u,Exceedances_k,N,Confidence,VaR,ES,xi_shape,beta_scale
NASDAQ,EVT-GPD,0.95,0.02359461245839252,454,9068,0.95,0.023608631069542394,0.03543444693456617,0.10356030036812637,0.010599679050362331
NASDAQ,EVT-GPD,0.95,0.02359461245839252,454,9068,0.99,0.04217477769641141,0.05614542909487575,0.10356030036812637,0.010599679050362331
DOW JONES,EVT-GPD,0.95,0.016377638273098214,454,9066,0.95,0.016389218890135823,0.026153130875288942,0.23120933468132052,0.007503726844418428
DOW JONES,EVT-GPD,0.95,0.016377638273098214,454,9066,0.99,0.031024909257207616,0.045190420253672585,0.23120933468132052,0.007503726844418428
S&P 500,EVT-GPD,0.95,0.017365857462294687,454,9066,0.95,0.017378126253915868,0.027524943585449945,0.2162686853564661,0.00794972513125617
S&P 500,EVT-GPD,0.95,0.017365857462294687,454,9066,0.99,0.032687029087796256,0.04705829965766886,0.2162686853564661,0.00794972513125617
CITIGROUP,EVT-GPD,0.95,0.035266855321461794,454,9065,0.95,0.03529346075530331,0.06275878759277202,0.4139026153939212,0.016086344168140865
CITIGROUP,EVT-GPD,0.95,0.035266855321461794,454,9065,0.99,0.07211331748619257,0.1255808675029839,0.4139026153939212,0.016086344168140865
