Dataset,Model,Confidence,VaR,ES
NASDAQ,Normal,0.95,0.023914197363055802,0.030099907500684978
NASDAQ,Normal,0.99,0.03400258615314531,0.03901893876947678
DOW JONES,Normal,0.95,0.01685173500176618,0.02121306848527628
DOW JONES,Normal,0.99,0.023964714246821606,0.027501573579691217
S&P 500,Normal,0.95,0.017394163848288572,0.02189624839495395
S&P 500,Normal,0.99,0.024736696599107384,0.028387699166658373
CITIGROUP,Normal,0.95,0.046207470302496556,0.05799678014773604
CITIGROUP,Normal,0.99,0.0654348732423942,0.0749955112243052
