Date,Window,VolWindow,Vol,VolPct,q_t,Threshold_u,Exceedances_k,xi_shape,beta_scale,VaR95,ES95,VaR99,ES99
2018-12-28,1000,60,0.01955346121925747,0.8643763796909493,0.92,0.012838899488441337,80,-0.30281594311725457,0.012765764811995416,0.0184314400917323,0.02693014968557998,0.032536349458642796,0.037756628622552156
2018-12-31,1000,60,0.01958707463090811,0.8646709891019451,0.92,0.012838899488441337,80,-0.30281594311725457,0.012765764811995416,0.0184314400917323,0.02693014968557998,0.032536349458642796,0.037756628622552156
2019-01-02,1000,60,0.019510178876668404,0.8626206896551725,0.92,0.012838899488441337,80,-0.30281594311725457,0.012765764811995416,0.0184314400917323,0.02693014968557998,0.032536349458642796,0.037756628622552156
2019-01-03,1000,60,0.01981305965754613,0.8696731485312371,0.92,0.012838899488441337,80,-0.30281594311725457,0.012765764811995416,0.0184314400917323,0.02693014968557998,0.032536349458642796,0.037756628622552156
2019-01-04,1000,60,0.020633139168090467,0.8849972421400993,0.92,0.013053995404934637,80,-0.3143199093083903,0.01289950020077166,0.018690235242716673,0.027156908940123653,0.03274614970162079,0.03785134821579474
2019-01-07,1000,60,0.020718921215516866,0.8859782159106576,0.92,0.013053995404934637,80,-0.3143199093083903,0.01289950020077166,0.018690235242716673,0.027156908940123653,0.03274614970162079,0.03785134821579474
2019-01-08,1000,60,0.02011740190698979,0.8740005514199063,0.92,0.012838899488441337,80,-0.331876618783418,0.013328579342611089,0.018639245997729623,0.027201285299652884,0.03285860421606588,0.037877468076496515
2019-01-09,1000,60,0.02010086578605312,0.8736044107512061,0.92,0.012838899488441337,80,-0.331876618783418,0.013328579342611089,0.018639245997729623,0.027201285299652884,0.03285860421606588,0.037877468076496515
2019-01-10,1000,60,0.01987483557219239,0.8700385887541345,0.92,0.012838899488441337,80,-0.331876618783418,0.013328579342611089,0.018639245997729623,0.027201285299652884,0.03285860421606588,0.037877468076496515
2019-01-11,1000,60,0.019849656756177905,0.8695053052225438,0.92,0.012838899488441337,80,-0.331876618783418,0.013328579342611089,0.018639245997729623,0.027201285299652884,0.03285860421606588,0.037877468076496515
