Date,Window,Threshold_q,Threshold_u,Exceedances_k,xi_shape,beta_scale,VaR95,ES95,VaR99,ES99
1993-12-15,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-16,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-17,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-20,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-21,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-22,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-23,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-27,1000,0.95,0.012484953527663415,50,-0.023030028158918976,0.00624163716790976,0.012484953527663415,0.01858608154552075,0.022346589279110714,0.028225716238545986
1993-12-28,1000,0.95,0.012242085653892848,50,-0.023091459373571967,0.006208624020135287,0.012242085653892848,0.01831057929955065,0.022051079511746754,0.027898181432266963
1993-12-29,1000,0.95,0.012242085653892848,50,-0.023091459373571967,0.006208624020135287,0.012242085653892848,0.01831057929955065,0.022051079511746754,0.027898181432266963
1993-12-30,1000,0.95,0.012242085653892848,50,-0.023091459373571967,0.006208624020135287,0.012242085653892848,0.01831057929955065,0.022051079511746754,0.027898181432266963
1993-12-31,1000,0.95,0.012226165841756698,50,-0.023982002701895547,0.006224151745400773,0.012226165841756698,0.01830454586111019,0.02205269183829757,0.02790093131574947
1994-01-03,1000,0.95,0.012226165841756698,50,-0.023982002701895547,0.006224151745400773,0.012226165841756698,0.01830454586111019,0.02205269183829757,0.02790093131574947
1994-01-04,1000,0.95,0.012226165841756698,50,-0.023982002701895547,0.006224151745400773,0.012226165841756698,0.01830454586111019,0.02205269183829757,0.02790093131574947
1994-01-05,1000,0.95,0.012212554109603367,50,0.009734433320840528,0.0056940344829210805,0.012212554109603367,0.0179625616575947,0.021448913017612512,0.027289715119047604
1994-01-06,1000,0.95,0.012212554109603367,50,0.009734433320840528,0.0056940344829210805,0.012212554109603367,0.0179625616575947,0.021448913017612512,0.027289715119047604
1994-01-07,1000,0.95,0.012212554109603367,50,0.009734433320840528,0.0056940344829210805,0.012212554109603367,0.0179625616575947,0.021448913017612512,0.027289715119047604
1994-01-10,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-11,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-12,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-13,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-14,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-17,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-18,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
1994-01-19,1000,0.95,0.012123485635701998,50,0.021298527380104404,0.005624137563253712,0.012123485635701998,0.01787001582963172,0.02133211388056774,0.027279042486366048
